date,description,event_type
1997-08-02,The First Liberian Civil War ends.,war
1997-08-31,"Diana, Princess of Wales is killed in a car accident in Paris.",catastrophe
1997-11-17,"62 people are killed by 6 Islamic militants outside the Temple of Hatshepsut in Luxor , Egypt .",catastrophe
1998-02-02,"Cebu Pacific  Flight 387 crashes on the slopes between Mount Sumagaya and Mount Lumot in Claveria, Misamis Oriental , killing all 104 people on board.",catastrophe
1998-02-03,"A United States military pilot causes the deaths of 20 people near Trento , Italy, when his low-flying EA-6B Prowler  severs the cable of a cable-car .",catastrophe
1998-02-28,"A study led by Andrew Wakefield is published in The Lancet suggesting an alleged link between MMR vaccine and autism . Now known to be full of data manipulation , the study was instantly controversial and fueled the nascent anti-vaccination movement .",catastrophe
1998-05-04,"Riots in Indonesia , including incidents of mass violence, demonstrations, and civil unrest of a racial nature, result in the Fall of Suharto and the independence of East Timor .",political instability
1998-07-17,"Nicholas II of Russia and his family are buried in St. Catherine Chapel, 80 years after he and his family were killed by the Bolsheviks in 1918 .",political instability
1998-08-02,The Second Congo War begins.,war
1998-08-07,Kenya and Tanzania bombings .,catastrophe
1998-08-15,Omagh bombing .,war
1999-04-20,"The Columbine High School massacre in Colorado, United States, causes 15 deaths.",catastrophe
1999-04-21,The Second Liberian Civil War begins.,war
1999-06-11,The end of the Kosovo War ends the Yugoslav Wars .,war
1999-08-03,"At least 58 people die and hundreds of homes are buried in a massive landslide in Cherry Hills subdivision in Antipolo , Rizal , which has caused by the heavy rains brought by Typhoon Olga .",natural disaster
1999-08-26,The Second Chechen War begins.,war
1999-09-03,Russian apartment bombings kill more than 350 people.,catastrophe
1999-10-12,World population  reaches 6 billion .,catastrophe
1999-10-31,"EgyptAir Flight 990 , travelling from New York City to Cairo , crashes off the coast of Nantucket, Massachusetts , killing all 217 on board.",catastrophe
1999-12-31,"December 31 :
 Vladimir Putinbecomes thePresident of Russia.The U.S. turns over complete administration of thePanama Canalto the Panamanian Government, as stipulated in theTorrijos–Carter Treatiesof1977.",political instability
2000-02-09,Torrential rains in Africa lead to the worst flooding in [until March and kills 800 people.,natural disaster
2000-03-10,"Dot-com bubble bursts, causing stock markets worldwide to crash.",catastrophe
2000-03-17,778 members of the Movement for the Restoration of the Ten Commandments of God  die in Uganda .,catastrophe
2000-05-06,The British Army launches Operation Palliser which effectively ends the Sierra Leone Civil War .,war
2000-06-17,A centennial earthquake (6.5 on the Richter scale ) hits Iceland on its national day.,natural disaster
2000-07-10,"At least 218 people are killed, about 700 are missing and presumed dead, and about 800 shanties are buried in a collapse of a dumpsite , destabilized by torrential rains caused by tropical cyclones, in Payatas , Quezon City .",catastrophe
2000-07-14,"A powerful solar flare , later named the Bastille Day event , causes a geomagnetic storm on Earth.",catastrophe
2000-07-25,"Concorde  Air France Flight 4590 crashes in France , killing 113 including all people aboard.",catastrophe
2000-08-12,"Russian submarine Kursk  explodes , killing all 118 crew.",catastrophe
2000-09-10,"A British military operation to free five soldiers from the Royal Irish Regiment that were held captive for over two weeks during the Sierra Leone Civil War , all of which were rescued.",war
2000-09-26,The Greek ferry Express Samina sinks off the coast of the island of Paros ; 80 out of a total of over 500 passengers perish in one of Greece's worst sea disasters.,catastrophe
2000-09-28,The Second Intifada begins.,war
2000-10-05,Yugoslav  President  Slobodan Milošević resigns following a revolution in Belgrade .,political instability
2000-10-12,al-Qaeda suicide bombs the USSCole ; 17 sailors are killed.,catastrophe
2000-12-25,The Luoyang Christmas fire at a shopping center in China kills 309 people.,catastrophe
2001-01-20,"January 20 :
 PresidentJoseph Estradaof thePhilippinesis ousted in theSecond EDSA Revolution.George W. Bushis inaugurated asPresident of the United States.",political instability
2001-01-26,"An earthquake strikes Gujarat , India , on Republic Day , resulting in more than 20,000 deaths.",natural disaster
2001-05-27,Dos Palmas kidnappings : Twenty tourists are abducted by the Abu Sayyaf Group terrorists from a popular island resort in the Philippines.,catastrophe
2001-06-01,"Eleven members of the royal family of Nepal , including the king and queen, are killed by Crown Prince Dipendra , who wounds himself and dies three days later.",catastrophe
2001-09-11,"September 11 attacks : Nineteen Al-Qaeda terrorists hijack four planes, crashing  two into the twin towers of the World Trade Center in New York City , the third plane into the Pentagon in Washington, DC , while the fourth plane is downed on the outskirts of Stonycreek Township, Pennsylvania . 2,996 people, including 2,977 victims and 19 hijackers, died in the attacks.",catastrophe
2001-10-07,"The United States invades Afghanistan and topples the Taliban regime , resulting in a long-term war .",war
2001-11-12,Crash of American Airlines Flight 587 .,catastrophe
2001-12-03,Enron files for Chapter 11 bankruptcy after a series of scandals .,catastrophe
2001-12-19,"During an economic crisis in Argentina , the government effectively freezes all bank accounts for twelve months which leads to riots and President Fernando de la Rúa 's resignation from office. There are five ""presidents"" in less than a month.",political instability
2002-02-08,The Algerian Civil War ends.,war
2002-02-27,"Riots and mass killings in the Indian state of Gujarat leave 1,044 dead.",catastrophe
2002-07-01,The International Criminal Court is established.,war
2002-09-19,The First Ivorian Civil War begins.,war
2002-10-02,Beltway sniper attacks .,catastrophe
2002-10-12,The 2002 Bali bombings killed 202 people and injured 209 more.,catastrophe
2002-10-23,"Chechen rebels seize a theater in Moscow. Amid this siege, around 200 people died.",war
2002-11-16,"The 2002-2004 SARS outbreak begins in Guangdong , China.",pandemics
2003-02-01,"Space ShuttleColumbia  disintegrates upon reentry , killing all seven astronauts on board.",catastrophe
2003-02-20,The Station nightclub fire .,catastrophe
2003-03-19,"The United States invades Iraq and ousts Saddam Hussein , triggering worldwide protests and an 8 year war .",war
2003-08-05,2003 Marriott Hotel bombing kills 12 people.,catastrophe
2003-11-03,The Rose Revolution occurs in Georgia .,political instability
2004-03-11,"Madrid train bombings killed 193 people and injured around 2,000, Europe's deadliest attack since Pan Am Flight 103 .",catastrophe
2004-09-01,"On the first school day in Russia , a group of Chechen  terrorists  held students, parents and teachers hostage in Beslan school , in North Ossetia–Alania . During three days under attack, 334 people died.",catastrophe
2004-11-07,"The Second Battle of Fallujah occurs. It is the deadliest American battle since the Vietnam War , killing 95 troops.",war
2004-12-26,"Boxing Day Tsunami occurs in the Indian Ocean , leading to the deaths of 230,000.",natural disaster
2005-01-09,Second Sudanese Civil War ends.,war
2005-02-14,Cedar Revolution in Lebanon triggered by the assassination of Rafic Hariri .,political instability
2005-07-07,7/7 attacks on the London Underground .,catastrophe
2005-07-26,"Floods in Maharashtra, India over 1000 people die.",natural disaster
2005-07-28,The Provisional Irish Republican Army ends its military campaign in Northern Ireland.,war
2005-08-29,"Hurricane Katrina kills 1,836 people across the Gulf of Mexico coast.",natural disaster
2005-09-30,"Controversial drawings of Muhammad are printed in the Danish newspaper Jyllands-Posten , sparking outrage and violent riots by Muslims around the world.",catastrophe
2005-10-08,"80,000 are killed in an earthquake in Kashmir , Pakistan and Afghanistan .",natural disaster
2006-02-17,2006 Southern Leyte mudslide .,natural disaster
2006-02-22,2006 al-Askari mosque bombing turns the escalation of sectarian violence in Iraq into a full-scale war (the Iraqi Civil War of 2006-2008 ).,war
2006-07-11,Mumbai bombings .,catastrophe
2006-09-19,A coup d'état in Thailand overthrows the government of Prime Minister  Thaksin Shinawatra .,political instability
2006-11-01,Former Russian security agent Alexander Litvinenko dies from poisoning in the UK.,catastrophe
2007-03-04,First Ivorian Civil War ends.,war
2007-04-16,Virginia Tech shooting .,catastrophe
2007-06-10,Fatah-Hamas conflict : The Battle of Gaza (2007) leads to Hamas taking control of the Gaza strip.,war
2007-08-15,Anti-government protests in Myanmar suppressed by ruling junta .,political instability
2007-12-27,"Assassination of Benazir Bhutto , opposition leader and former prime minister of Pakistan.",political instability
2008-05-02,"Cyclone Nargis kills 133,000 in Myanmar .",natural disaster
2008-05-12,"Magnitude 8.0 earthquake occurs in Wenchuan, China, causing almost 90,000 people to die or go missing. [1]",catastrophe
2008-06-20,Sinking of the MVPrincess of the Stars .,catastrophe
2008-11-26,2008 Mumbai attacks .,catastrophe
2009-01-15,"US Airways Flight 1549 ditches in the Hudson River in an accident that becomes known as the ""Miracle on the Hudson"", as all 155 people on board are rescued.",natural disaster
2009-09-26,Typhoon Ketsana kills 789 people in the Philippines.,natural disaster
2010-01-12,"A 7.0 magnitude earthquake in Haiti kills 230,000.",natural disaster
2010-02-18,2010 Nigerien coup d'état .,political instability
2010-03-29,2010 Moscow Metro bombings .,catastrophe
2010-04-10,"The President of Poland, Lech Kaczyński , is among 96 killed when their airplane crashes in Smolensk , Russia.",catastrophe
2010-04-20,The largest oil spill in US history occurs in the Gulf of Mexico .,catastrophe
2010-07-22,2010 Colombia–Venezuela diplomatic crisis .,political instability
2010-11-23,North Korea  shells the island of Yeonpyeong .,war
2011-02-22,"Christchurch earthquake kills 185 and injures 2,000.",natural disaster
2011-03-11,A 9.1 earthquake in Japan triggers a tsunami and the meltdown of the Fukushima Nuclear Power Plant .,natural disaster
2011-05-02,Osama bin Laden is shot dead by United States Navy SEALs in Pakistan .,war
2011-07-22,2011 Norway attacks .,natural disaster
2011-08-06,Riots flare across England .,catastrophe
2011-10-20,Muammar Gaddafi is captured and killed during the Battle of Sirte .,war
2012-07-20,"2012 Aurora, Colorado shooting .",catastrophe
2012-09-11,2012 Benghazi attack leads to the death of US ambassador J. Christopher Stevens .,catastrophe
2012-10-22,Hurricane Sandy causes $70 billion in damage and kills 233 people.,natural disaster
2012-12-04,"Typhoon Bopha kills over 1,600 in the Philippines .",natural disaster
2012-12-14,Sandy Hook Elementary School shooting .,catastrophe
2013-02-15,"An undiscovered meteor strikes the Chelyabinsk oblast in Russia, with an airburst injuring thousands and damaging many buildings.",catastrophe
2013-04-24,The Rana Plaza collapses in Bangladesh .,catastrophe
2013-05-22,"British Army soldier Fusilier  Lee Rigby of the Royal Regiment of Fusiliers is murdered in Woolwich , southeast London by Islamic terrorists Michael Adebolajo and Michael Adebowale.",war
2013-07-03,President of Egypt  Mohamed Morsi  is deposed by the military in a coup d'état .,political instability
2013-08-21,"A chemical attack in Ghouta, Syria is blamed on President Bashar al-Assad .",war
2013-09-09,Zamboanga City crisis .,catastrophe
2013-10-15,"A 7.2 magnitude earthquake in Bohol , kills 222.",natural disaster
2013-11-08,"Typhoon Haiyan kills nearly 6,150 people in Vietnam and the Philippines .",natural disaster
2013-11-21,The Euromaidan uprising begins in Ukraine .,political instability
2014-03-08,Malaysia Airlines Flight 370 disappears from radar while en route to Beijing from Kuala Lumpur. There were 239 people on board.,catastrophe
2014-04-16,"The MV Sewol sinks, killing 304 of 476 passengers, 250 of which were students at Danwon High School .",catastrophe
2014-05-22,A coup d'état in Thailand overthrows the caretaker government.,political instability
2014-08-08,Scott Cawthon releases Five Nights at Freddy's .,catastrophe
2014-08-09,"The shooting of African-American teenager Michael Brown by police leads to violent unrest in Ferguson, Missouri .",catastrophe
2014-12-16,Tehrik-i-Taliban Pakistan  kill over 130 students in Pakistan .,catastrophe
2015-01-03,"Boko Haram perpetrates a massacre of over 2,000 people in Baga, Nigeria , and allies itself with ISIL .",war
2015-04-02,"Al-Shabaab perpetrates a mass shooting in Kenya , killing 148.",catastrophe
2015-04-25,"The death of an African-American man, Freddie Gray by police leads to violent unrest in Baltimore , Maryland .",catastrophe
2015-05-13,Kentex slipper factory fire .,catastrophe
2015-09-30,Russia begins air strikes against ISIL and anti-government forces in Syria,war
2016-05-09,"Rodrigo Duterte becomes President of the Philippines , and initiates a controversial drug war .",war
2016-06-12,"A shooter kills 49 people at a gay nightclub in Orlando, Florida .",catastrophe
2017-02-13,"Kim Jong-nam , the half-brother of Kim Jong-Un , is assassinated in Kuala Lumpur , Malaysia.",catastrophe
2017-05-22,"A terrorist bombing attack at an Ariana Grande concert in Manchester, England kills 22 people and injures over 140.",catastrophe
2017-06-02,36 people are killed in an attack in Resorts World Manila .,catastrophe
2017-08-11,"Charlottesville, Virginia becomes the site of a far-right rally protesting the removal of Confederate statues throughout the US. During the event, a white supremacist rams his car into a crowd of counter-protesters, injuring 19 and killing one .",catastrophe
2017-10-01,60 people are killed in a mass shooting at a music festival in Las Vegas .,catastrophe
2017-10-14,"A bombing in Mogadishu, Somalia kills 587 people and injures 316. It is one of the deadliest terrorist attacks in modern history.",catastrophe
2017-11-05,"26 people are killed in a church shooting in Sutherland Springs, Texas .",catastrophe
2018-06-23,Twelve boys and their football coach are successfully rescued from the flooded Tham Luang Nang Non cave in Thailand .,natural disaster
2018-10-02,"Exiled Washington Post journalist Jamal Khashoggi is assassinated inside the Saudi consulate in Istanbul, triggering a diplomatic crisis for Saudi Arabia.",catastrophe
2019-04-15,"A major fire engulfs Notre-Dame Cathedral in Paris, resulting in the roof and main spire collapsing.",catastrophe
2020-01-02,The Royal Australian Air Force and Navy are deployed to New South Wales and Victoria to assist mass evacuation efforts amidst the 2019–20 Australian bushfire season . [3] [4],natural disaster
2020-01-03,Qasem Soleimani is targeted and killed at Baghdad International Airport .,catastrophe
2020-01-08,"Ukraine International Airlines Flight 752 is shot down by Iranian Islamic Revolutionary Guards Corps (IRGC) shortly after taking off from Tehran, killing all 176 on board.",catastrophe
2020-02-09,Bong Joon-ho 's Parasite becomes the first South Korean film to receive Academy Award recognitions at the 92nd Academy Awards .,pandemics
2020-07-09,Protests begin in Bulgaria against the government of prime minister Boyko Borisov .,political instability
2020-07-28,"Former Prime Minister of Malaysia Najib Razak is found guilty of all seven charges in the first of five trials on the 1MDB scandal , being jailed 12 years and fined RM 210 million as a result.",political instability
2020-08-04,"An explosion caused by unsafely stored ammonium nitrate kills at least 218 people, injures thousands, and severely damages the port of Beirut , Lebanon .",catastrophe
2020-09-16,"A United Nations Human Rights Council fact-finding mission formally accuses the Venezuelan government of crimes against humanity , including cases of killings, torture, violence against political opposition and disappearances since 2014.",catastrophe
2020-09-27,2020 Nagorno-Karabakh war between Armenia and Azerbaijan .,war
2020-10-15,President of Kyrgyzstan Sooronbay Jeenbekov resigns from office after weeks of massive protests in the wake of the October 2020 parliamentary election .,political instability
2020-10-23,"At the end of an 11-year demining process, the Falkland Islands are declared free of land mines , 38 years after the end of the Falklands War .",war
2020-10-29,The International Organization for Migration (IOM) confirms the death of least 140 migrants who drowned off the coast of Senegal on a vessel bound for the Spanish Canary Islands .,catastrophe
2020-11-03,"The 2020 United States presidential election occurs. Despite the pandemic, early voting and other factors result in the highest voter turnout since 1900, and a record of over 155 million votes cast. Although Joe Biden is declared the winner on November 7, Donald Trump leads an unprecedented effort to prevent official recognition of his defeat, culminating on January 6 the next year.",pandemics
2020-11-03,The Tigray War begins in Ethiopia .,war
2020-11-19,The Brereton Report into Australian war crimes during the War in Afghanistan is released.,war
2020-12-01,"The Arecibo Telescope of the Arecibo Observatory collapses, just weeks after the announcement of its planned demolition.",catastrophe
2021-01-06,"Supporters of President Donald Trump, gathered after a rally led by him, attack the United States Capitol , leading to five deaths.",catastrophe
2021-01-13,"Donald Trump is impeached for a second time following the events of January 6, but is acquitted again after his trial from February 9–13.",political instability
2021-02-13,"Winter Storm Uri becomes the costliest winter storm in North American history, costing $200 billion and 237 lives, and triggering the 2021 Texas power crisis .",catastrophe
2021-02-22,"Luca Attanasio , the Italian ambassador to the Democratic Republic of the Congo , is murdered near Goma .",catastrophe
2021-03-21,"Clashes in Apure between Colombian FARC dissidents and the Venezuelan Armed Forces cause at least six casualties and displace 4,000 Venezuelans.",war
2021-03-23,"The container ship Ever Given  obstructs the Suez Canal for six days, costing an estimated $3.6 billion in global trade.",catastrophe
2021-04-20,"Idriss Déby , President of Chad , is killed in clashes with rebel forces after 30 years in office.",political instability
2021-04-24,"Following an international search and rescue effort, the Indonesian navy reports the sinking of KRINanggala with 53 crew members, the largest loss of life aboard a submarine since 2003 .",catastrophe
2021-04-28,A border clash between Kyrgyzstan and Tajikistan leads to 55 deaths.,war
2021-05-06,Hundreds die in conflicts after Israel  evicts six Palestinian families from East Jerusalem .,catastrophe
2021-05-23,Ryanair Flight 4978 is forced to land by Belarusian authorities to detain dissident journalist Roman Protasevich .,political instability
2021-06-24,"The Champlain Towers South condominium in Surfside, Florida , collapses , killing 98 people.",catastrophe
2021-07-04,"50 people are killed and 46 others are injured when a C-130  transport plane of the Philippine Air Force  crashes in Jolo , Sulu .",catastrophe
2021-07-07,"Haitian President Jovenel Moïse , is assassinated in a midnight attack by unknown mercenaries.",political instability
2021-07-18,"An international investigation reveals that spyware sold by Israel's NSO Group to different governments is being used to target heads of state, along with thousands of activists, journalists and dissidents around the world.",political instability
2021-08-14,"An earthquake in Haiti kills over 2,000 people.",natural disaster
2021-08-15,"Kabul falls following the 2021 Taliban offensive , as the Islamic Republic of Afghanistan collapses, and the country is governed thereafter by the Taliban as the reinstated Islamic Emirate of Afghanistan . The War in Afghanistan thus ends after 20 years following the withdrawal of U.S. and coalition troops.",war
2021-09-14,North Korea demonstrates two short-range ballistic missiles that land just outside Japan's territorial waters; hours later South Korea demonstrates its first submarine-launched ballistic missile.,war
2021-10-03,"The International Consortium of Investigative Journalists and assorted media partners publish a set of 11.9 million documents leaked from 14 financial services companies known as the Pandora Papers , revealing offshore financial activities that involve multiple current and former world leaders.",pandemics
2021-11-16,"Russia draws international condemnation following an anti-satellite weapon test that creates a cloud of space debris , threatening the International Space Station .",catastrophe
2021-12-09,"A truck crash in Chiapas , Mexico , kills 55 migrants who were being smuggled in it from Guatemala through Mexico to its border with the United States .",catastrophe
2021-12-16,"Typhoon Rai lashes into Visayas and Mindanao , killing 409 people.",natural disaster
2022-01-02,2022 Kazakh unrest .,political instability
2022-01-15,"The Hunga Tonga–Hunga Haʻapai eruption and tsunami is the largest and most powerful volcanic eruption in decades, and the largest explosion ever recorded by modern instruments.",natural disaster
2022-02-24,"Russia invades Ukraine , escalating the Russo-Ukrainian War , causing a refugee crisis and tens of thousands of deaths on both sides.",war
2022-03-15,Sri Lankan protests .,political instability
2022-05-06,Monkeypox outbreak .,pandemics
2022-06-12,Heat waves in Europe kill tens of thousands.,catastrophe
2022-06-22,Earthquake in Afghanistan .,natural disaster
2022-07-08,Assassination of Shinzo Abe .,catastrophe
2022-07-22,Chinese paddlefish declared extinct.,catastrophe
2022-08-04,China conducts its largest ever military exercise around Taiwan in response to a controversial visit by Nancy Pelosi .,war
2022-08-24,""" Man of the Hole "", reclusive indigenous Brazilian and last of his ethnicity, dies.",catastrophe
2022-08-28,Floods in Pakistan trigger an economic crisis .,natural disaster
2022-08-31,"Mikhail Gorbachev , the last Leader of the Soviet Union, died in age 91.",political instability
2022-09-08,"Elizabeth II  dies at the age of 96 , and is succeeded by Charles III .",political instability
2022-09-16,Mahsa Amini protests .,political instability
2022-09-27,"Hurricane Ian impacts Cuba and the US, causing catastrophic damage to both nations, killing at least 157 people, 16 missing, and leaving millions without power, including the entirety of Cuba.",natural disaster
2022-10-01,"A fatal human crush occurs during an association football match at Kanjuruhan Stadium in Malang Regency , East Java , Indonesia , killing 131 people and injuring more than 500.",catastrophe
2022-10-06,"36 people are killed in a shooting, stabbing, and vehicle-ramming at Nong Bua Lamphu , Thailand .",catastrophe
2022-10-29,"October 29 :
 Severe Tropical Storm Nalgaelashes throughout thePhilippines, leaving 160 people dead.At least 158 people are killed and another 197 injured in acrowd crushduring Halloween festivities in Seoul, South Korea.",natural disaster
2022-11-11,The FTX  cryptocurrency exchange files for Chapter 11 bankruptcy .,catastrophe
2022-12-07,"Self-coup attempt , impeachment and arrest of President Pedro Castillo sparks protests in Peru .",political instability
2022-12-09,Qatar corruption scandal at the European Parliament .,catastrophe
2023-01-08,2023 Brazilian Congress attack .,political instability
2023-02-06,"2023 Turkey-Syria earthquakes kill nearly 60,000 people.",natural disaster
2023-02-21,"Cyclone Freddy kills 1,400 in Malawi and Mozambique .",natural disaster
2023-04-15,Third Sudanese civil war begins.,war
2023-05-05,World Health Organization ends the designation of COVID-19 as a public health emergency of international concern .,catastrophe
2023-05-17,2023 Ecuadorian political crisis .,political instability
2023-06-02,2023 Odisha train collision .,catastrophe
2023-06-12,Kwara boat disaster .,catastrophe
2023-07-26,2023 Nigerien coup d'état .,political instability
2023-08-30,2023 Gabonese coup d'état .,political instability
2023-09-08,2023 Marrakesh-Safi earthquake kills nearly 6000 people.,natural disaster
2023-09-10,"Storm Daniel becomes the deadliest Mediterranean storm in history, with over 4000 deaths in Libya .",catastrophe
2023-09-19,2023 Azerbaijani offensive in Nagorno-Karabakh .,war
2023-10-07,Hamas attacks Israel; start of the Israel-Hamas war .,war
2023-10-07,2023 Herat earthquakes .,natural disaster
2023-10-23,2023 Guayana Esequiba crisis .,catastrophe
2023-10-27,"Operation 1027 , a coordinated assault by anti-Junta forces in the Myanmar civil war , begins.",war
